arm,block,goal_idx,region,spawn_dist,steps,reached,goal_x,goal_y,spawn_px,spawn_py,trace_cx,trace_cy
trace,exposure,87,frequent,120.5,11,1,373.2,342.3,256,314,305.7,307.7
trace,exposure,88,frequent,255.6,211,1,140.3,140.4,315,327,297.4,299.4
trace,exposure,89,frequent,157.0,274,1,304.4,147.0,322,303,297.7,291.7
trace,exposure,90,rare,307.3,94,1,220.8,543.5,324,254,293.9,304.3
trace,exposure,91,frequent,258.0,26,1,141.4,217.7,358,358,286.3,300.0
trace,exposure,92,frequent,73.1,5,1,271.2,368.1,288,297,285.5,303.4
trace,exposure,93,rare,309.0,52,1,335.9,649.0,337,340,288.0,320.7
trace,exposure,94,frequent,289.3,33,1,380.1,161.4,360,450,292.6,312.7
trace,exposure,95,frequent,89.1,6,1,293.3,244.0,270,330,292.7,309.3
trace,exposure,96,rare,289.8,24,1,564.7,165.7,324,327,306.3,302.1
trace,exposure,97,frequent,256.1,107,1,156.0,142.9,332,329,298.8,294.1
trace,exposure,98,frequent,81.1,4,1,377.3,221.9,324,283,302.7,290.5
trace,exposure,99,frequent,267.8,123,1,154.9,183.5,329,387,295.3,285.2
trace,exposure,100,frequent,118.6,66,1,324.7,391.8,285,280,296.8,290.5
trace,exposure,101,frequent,297.2,106,1,164.7,185.3,391,378,290.2,285.3
trace,exposure,102,frequent,113.7,9,1,196.1,340.3,296,286,285.5,288.0
trace,exposure,103,rare,346.6,29,1,621.7,526.8,335,332,302.3,299.9
trace,exposure,104,frequent,337.6,44,1,189.3,152.7,403,414,296.6,292.6
trace,exposure,105,rare,251.8,22,1,490.7,212.3,267,328,306.3,288.6
trace,exposure,106,frequent,68.5,4,1,272.0,288.9,334,318,304.6,288.6
trace,exposure,107,frequent,251.0,123,1,143.6,148.5,325,322,296.6,281.6
trace,exposure,108,frequent,139.8,298,1,336.6,140.7,324,280,298.6,274.5
trace,exposure,109,rare,310.2,27,1,616.0,418.1,345,267,314.4,281.7
trace,exposure,110,frequent,256.1,47,1,191.9,161.4,364,351,308.3,275.7
trace,exposure,111,frequent,113.4,8,1,258.3,199.2,314,298,305.8,271.9
trace,exposure,112,frequent,76.1,5,1,355.2,220.0,323,289,308.3,269.3
trace,exposure,113,frequent,273.9,25,1,168.6,144.1,357,343,301.3,263.0
trace,exposure,114,frequent,95.0,7,1,347.3,298.7,256,325,303.6,264.8
trace,exposure,115,frequent,128.7,9,1,381.6,192.0,297,289,307.5,261.2
trace,exposure,116,frequent,123.7,10,1,198.3,297.2,321,313,302.0,263.0
trace,exposure,117,frequent,250.2,95,1,140.8,143.3,321,317,294.0,257.0
trace,exposure,118,rare,300.5,27,1,452.4,542.7,322,272,301.9,271.3
trace,exposure,119,frequent,257.2,88,1,157.4,177.1,333,365,294.7,266.6
trace,test,0,rare,350.5,37,1,247.0,615.6,292,268,292.3,284.0
trace,test,1,frequent,531.9,46,1,350.8,239.9,100,709,295.2,281.8
