arm,seed,trial,drift
fitted,104,143,0.10000
fitted,104,144,1.72000
fitted,104,145,1.78000
fitted,104,146,2.56000
fitted,104,147,-1.96000
fitted,104,148,1.06000
fitted,104,149,0.02000
fitted,104,150,-1.42000
fitted,104,151,-0.30000
fitted,104,152,-1.72000
fitted,104,153,-1.06000
fitted,104,154,-0.10000
fitted,104,155,1.82000
fitted,104,156,1.04000
fitted,104,157,2.30000
fitted,104,158,-0.04000
fitted,104,159,-2.36000
fitted,104,160,0.38000
fitted,104,161,-0.46000
fitted,104,162,-1.40000
fitted,104,163,0.08000
fitted,104,164,-0.96000
fitted,104,165,-1.44000
fitted,104,166,-0.56000
fitted,104,167,-2.24000
fitted,104,168,-1.44000
fitted,104,169,-1.40000
fitted,104,170,-1.78000
fitted,104,171,-2.06000
fitted,104,172,-0.26000
fitted,104,173,-1.24000
fitted,104,174,-2.42000
fitted,104,175,-1.16000
fitted,104,176,1.04000
fitted,104,177,-1.64000
fitted,104,178,-0.32000
fitted,104,179,-0.18000
fitted,105,1,-1.02000
fitted,105,2,0.16000
fitted,105,3,2.40000
fitted,105,4,1.44000
fitted,105,5,-0.40000
fitted,105,6,1.58000
fitted,105,7,1.52000
fitted,105,8,-0.54000
fitted,105,9,0.60000
fitted,105,10,0.98000
fitted,105,11,1.26000
fitted,105,12,0.02000
fitted,105,13,2.10000
fitted,105,14,2.34000
fitted,105,15,1.88000
fitted,105,16,-0.76000
fitted,105,17,0.80000
fitted,105,18,-0.30000
fitted,105,19,-1.02000
fitted,105,20,0.58000
fitted,105,21,0.90000
fitted,105,22,-0.50000
fitted,105,23,-0.20000
fitted,105,24,1.84000
fitted,105,25,0.60000
fitted,105,26,-0.08000
fitted,105,27,0.42000
fitted,105,28,0.04000
fitted,105,29,0.50000
fitted,105,30,0.20000
fitted,105,31,-0.12000
fitted,105,32,0.14000
fitted,105,33,2.18000
fitted,105,34,2.36000
fitted,105,35,1.98000
fitted,105,36,0.78000
fitted,105,37,-0.58000
fitted,105,38,0.64000
fitted,105,39,1.04000
fitted,105,40,0.84000
fitted,105,41,1.32000
fitted,105,42,1.26000
fitted,105,43,1.14000
fitted,105,44,1.54000
fitted,105,45,0.90000
fitted,105,46,1.66000
fitted,105,47,1.78000
fitted,105,48,2.24000
fitted,105,49,2.24000
fitted,105,50,2.56000
fitted,105,51,1.96000
fitted,105,52,1.14000
fitted,105,53,-0.80000
fitted,105,54,-0.66000
fitted,105,55,0.18000
fitted,105,56,0.14000
fitted,105,57,0.34000
fitted,105,58,0.04000
fitted,105,59,-0.32000
fitted,105,60,0.90000
fitted,105,61,0.16000
fitted,105,62,1.18000
fitted,105,63,-0.84000
fitted,105,64,-1.32000
fitted,105,65,-1.06000
fitted,105,66,0.48000
fitted,105,67,0.00000
fitted,105,68,-0.56000
fitted,105,69,0.04000
fitted,105,70,-0.06000
fitted,105,71,-0.06000
fitted,105,72,-1.00000
fitted,105,73,0.14000
fitted,105,74,-0.38000
fitted,105,75,0.90000
fitted,105,76,-0.98000
fitted,105,77,0.60000
fitted,105,78,1.16000
fitted,105,79,2.68000
fitted,105,80,1.78000
fitted,105,81,2.02000
fitted,105,82,1.20000
fitted,105,83,1.46000
fitted,105,84,2.60000
fitted,105,85,0.88000
fitted,105,86,2.04000
fitted,105,87,1.14000
fitted,105,88,1.70000
fitted,105,89,1.66000
fitted,105,90,-0.72000
fitted,105,91,0.60000
fitted,105,92,0.84000
fitted,105,93,-0.22000
fitted,105,94,0.90000
fitted,105,95,2.40000
fitted,105,96,2.14000
fitted,105,97,-0.48000
fitted,105,98,0.24000
fitted,105,99,1.36000
fitted,105,100,1.18000
fitted,105,101,0.42000
fitted,105,102,-1.12000
fitted,105,103,0.14000
fitted,105,104,0.52000
fitted,105,105,-0.32000
fitted,105,106,0.80000
fitted,105,107,-0.60000
fitted,105,108,-1.08000
fitted,105,109,-1.72000
fitted,105,110,-1.48000
fitted,105,111,-0.90000
fitted,105,112,-2.20000
fitted,105,113,-1.38000
fitted,105,114,-1.94000
fitted,105,115,-1.08000
fitted,105,116,-0.30000
fitted,105,117,-0.02000
fitted,105,118,-1.30000
fitted,105,119,-1.34000
fitted,105,120,-0.42000
fitted,105,121,0.00000
fitted,105,122,-1.08000
fitted,105,123,0.20000
fitted,105,124,0.70000
fitted,105,125,0.02000
fitted,105,126,-1.12000
fitted,105,127,-0.18000
fitted,105,128,0.14000
fitted,105,129,-1.98000
fitted,105,130,-1.84000
fitted,105,131,-2.72000
fitted,105,132,-2.04000
fitted,105,133,-2.38000
fitted,105,134,0.42000
fitted,105,135,0.22000
fitted,105,136,-0.26000
fitted,105,137,-0.24000
fitted,105,138,2.42000
fitted,105,139,0.20000
fitted,105,140,1.36000
fitted,105,141,-0.14000
fitted,105,142,1.74000
fitted,105,143,-1.12000
fitted,105,144,0.30000
